video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
TZdNwUSgRHc,17.15.11,РПЦ незаконно строит храм  полиция смотрит как бьют местных жителей,Нет застройке без согласия,22,2017-11-13T06:29:09.000Z,[none],154924,4174,709,1460,https://i.ytimg.com/vi/TZdNwUSgRHc/default.jpg,FALSE,FALSE,FALSE,Строители нападают на муниципального депутата  стоящие рядом полицейские звонят куда-то по телефону и делают вид  что ничего не происходит! Сегодня  13 ноября  на улице Воротынской  возле дома №14  произошли стычки между строителями храма и жителями района  которые выступают против застройки в своем дворе. Активистам удавалось сдерживать начало строительства в течении месяца  так как у застройщика не было на руках всех разрешающих документов. Однако сегодня рабочие пригнали строительную технику в 7 утра и выстроились живой цепью  дабы не пропустить местных жителей на площадку и не дать им помешать начать строительство. Кроме самих рабочих площадка ничем не огорожена. В настоящий момент  происходят стычки  рабочие нападают на местных жителей  которые пытаются пройти к технике  полиция  присутствующая на площадке бездействует и называет жильцов провокаторами.
agb2g0R55UY,17.15.11,성심병원 장기자랑 영상 2014년 [철영쿤TV] ISSUE,철영쿤 TV,25,2017-11-11T08:30:39.000Z,"성심병원|""간호사들""|""장기자랑""|""성심병원 간호사들""|""갑질""|""김진태""|""korea""|""talent""|""show""|""nurse""|""dance""",120638,45,192,84,https://i.ytimg.com/vi/agb2g0R55UY/default.jpg,FALSE,FALSE,FALSE,성심병원 장기자랑 영상 2014년 [철영쿤TV] ISSUE   seongsim Hospital nurse Talent Show 2014 korea
UUqxsjHjI6w,17.15.11,Топ10 УМНЫХ Ютуберов!,telblog.net,24,2017-11-14T15:50:13.000Z,"Utopia Show|""Slivki Show""|""Riddle""|""Snailkick""|""Mental TV""|""Алексей Навальный""|""Артур Шарифов""|""Дмитрий Ларин""|""Николай Соболев""|""Константин Кадавр""",362964,21298,1284,4097,https://i.ytimg.com/vi/UUqxsjHjI6w/default.jpg,FALSE,FALSE,FALSE,Раскрути свой Инстаграм 👉 http://instabar.ru/ ВКонтакте ► http://telblog.net/vk Автор Канала ► http://telblog.net/avtor Одноклассники ► http://telblog.net/okru 2 Канал ► http://telblog.net/2ch Реклама ► http://telblog.net/ad  ======================= Кто самый умный блогер на Ютубе: Соболев  Топа  а может быть Сливки Шоу?
rne1xYw_xOw,17.15.11,10 Загадок ЗВЁЗДНЫХ ВОЙН [ТОПот Сокола],SokoL[off] TV,1,2017-11-14T15:13:10.000Z,"Sokol[off]|""Sokoloff""|""Соколов Александр""|""кино""|""обзор кино""|""movie""|""film""|""trailer""|""critics""|""review""|""Сокол""|""Топ от Сокола""|""ТОПот Сокола""|""Магистр Йода""|""Звездные Войны""|""Star Wars""|""Последние Джедаи""|""Скрытая Угроза""|""Атака Клонов""|""Месть Ситхов""|""Новая Надежда""|""Империя Наносит Ответный Удар""|""Возвращение Джедая""|""Изгой-Один""|""Месяц Звездных Войн""|""Джордж Лукас""|""Дисней""|""Люк Скайвокер""|""Дарт Вейдер""",185303,14896,788,1143,https://i.ytimg.com/vi/rne1xYw_xOw/default.jpg,FALSE,FALSE,FALSE,Необычные сладости на Мармелад Шоу прямо по ссылке: https://goo.gl/NgEqiY Промокод на скидку в 10%: SOKOL5 ------------ Группа вконтакте http://vk.com/sokoloff_show Инстаграм: http://instagram.com/alex_sokoloff Твиттер https://twitter.com/sokoloff_show Второй канал: https://www.youtube.com/itsSokolOther ------------- Заказ рекламы: sokol-commercial@mail.ru Предложения по сотрудничеству: https://vk.com/anastasia.sokolova1986 ------------- В этом видео: 10 загадок или вопросов без ответов из вселенной Звездных Войн.   В ролике использованы отрывки из: Скрытая Угроза  Атака Клонов  Месть Ситхов  Новая Надежда  Империя Наносит Ответный Удар  Возвращение Джедая  Изгой-Один  Гремлины.  Видео создано только для развлечения и никого не стремится оскорбить. Я высказываю лишь свое мнение  которое может быть необъективным  предвзятым или ошибочным. Если Вы оскорбились  то Вы  видимо  мастер Йода без загадочного прошлого.
a-TRpFGpYAE,17.15.11,ПОЛОСА ПРЕПЯТСТВИЙ В БАТУТНОМ ПАРКЕ! (СЛОЖНАЯ ВЕРСИЯ) TRAMPOLINE PARK SLIDE OBSTACLE COURSE,Anton Sheptunov,17,2017-11-14T12:36:44.000Z,"скейт|""скейтборд""|""скейтбординг""|""на скейте""|""как делать""|""олли""|""мануал""|""кикфлип""|""туториал""|""видеоурок""|""озвучка""|""перевод""|""skate""|""skateboard""|""skateboarding""|""ollie""|""manual""|""kickflip""|""trick""|""трюк""|""аарон каро""|""aaron kyro""|""braille""|""рэд булл""|""red bull""|""Ryan Sheckler""|""макс круглов""|""максим круглов""|""круглов""|""райан шеклер""|""тони хоук""|""bmx""|""flair""|""бмх""|""вмх""|""флэйр""|""самокат""|""scooter""|""scotty""|""cranmer""|""скотти""|""кранмер""|""dudesons""|""dudesonsvlog""|""райан""|""уильямс""|""вильямс""|""Ryan""|""Williams""|""мега рампа""|""mega ramp""|""паркур""|""батут""|""трюки""",138806,3444,190,170,https://i.ytimg.com/vi/a-TRpFGpYAE/default.jpg,FALSE,FALSE,FALSE,Казино Вулкан - http://bit.ly/2AFvBhk Бонус по моей ссылке 100% на первый депозит!  Перевод и озвучка видеоролика ПОЛОСА ПРЕПЯТСТВИЙ В БАТУТНОМ ПАРКЕ!  В этом ролике ребята с канала Funk Bros построили очередную полосу препятствий в батутном зале из подручных средств и пытаются пройти ее  параллельно развлекаясь и делая круты трюки на батутах.   Я Вконтакте - https://vk.com/id21492448  Наша группа ВКонтакте - https://vk.com/antonshep  Источник - https://www.youtube.com/channel/UCkrKW1_u0O8qSc3xsLoRHew
OdOmKn6Cn9s,17.15.11,Նռան հատիկ  Սերիա 47 / Pomegranate seed / Nran hatik,PanArmenian TV,1,2017-11-14T18:30:01.000Z,"Նռան հատիկ|""Սերիա 47""|""Pomegranate seed""|""Nran hatik""|""դիանա գրիգորյան""|""արմենիա թի-վի""|""պրեմիում""|""արմենիա պրեմիում""|""seria 47""|""episode 47""|""diana grigoryan""|""armenia tv""|""premium""|""armenia premium""|""panarmenian tv""|""ucom""|""2017""",93486,306,89,72,https://i.ytimg.com/vi/OdOmKn6Cn9s/default.jpg,FALSE,FALSE,FALSE,
AOCJIFEA_jE,17.15.11,Биржа Мемов #29. Большой выпуск,Druzhko Show,22,2017-11-13T17:32:11.000Z,"биржа мемов|""лев шагинян""|""мемы""|""пикчи""|""дружко""|""дружко шоу""|""анонимус""|""борщ""|""ftp""|""мхк""|""на случай важных переговоров""|""аффлек""|""бэн аффлек""|""batman""|""бэтмен""|""трамп""",693015,75690,4669,4693,https://i.ytimg.com/vi/AOCJIFEA_jE/default.jpg,FALSE,FALSE,FALSE,В 29 выпуске Дружко Шоу Сергей сказал  что Биржа Мемов отдельно выйдет на его канале в понедельник…и не соврал!  Встречайте  расширенная и  впервые  самостоятельная Биржа Мемов  в которой Лев вспомнил лучшие пикчи последней недели  обсудил самые мемные новости  встретился с очередным гостем и разобрал один из пабликов ВК на орпригодность в рамках своей новой рубрики! В общем  обязательно к просмотру.  Ведущий биржи мемов:  VK: https://vk.cc/6Dolqn Instagram: https://goo.gl/AoHGPN  Биржа Мемов: https://vk.com/stockmem  Группа Вконтакте: https://vk.cc/6BBS07 Группа Facebook: https://goo.gl/ZS5mzT Instagram Шоу: https://goo.gl/F5s5PK  Моя личная страница ВКонтакте: https://vk.cc/6Djxew Мой инстаграм: https://goo.gl/LukuVV  Иван #ЖаданИсполняетМечты: VK: https://vk.cc/70ncIe Instagram: https://goo.gl/DVjC87
x0uu99_tSTU,17.15.11,РОССИЯ - ИСПАНИЯ: ЧТО ЭТО БЫЛО??? ОБЗОР МАТЧА  ГОЛЫ,Реальный футбол,17,2017-11-15T01:43:48.000Z,"сборная россии|""россия испания""|""россияиспания""|""россия - испания""|""россия испания обзор""|""россия - испания обзор""|""россия испания обзор матча""|""россия - испания обзор матча""|""голы""|""россия испания голы""|""россия испания 3-3""|""россия испания 3-3 обзор""|""россия испания 3-3 обзор матча""|""россия испания полный матч""|""россия - испания полный матч""|""россия испания смотреть полный матч""|""россия испания все голы""|""россия - испания все голы""|""russia spain""|""russia spain highlights""|""реальный футбол""",132928,6271,603,495,https://i.ytimg.com/vi/x0uu99_tSTU/default.jpg,FALSE,FALSE,FALSE,РОССИЯ - ИСПАНИЯ: ЧТО ЭТО БЫЛО??? ОБЗОР МАТЧА  Поддержите нас ПОДПИСКОЙ ► https://goo.gl/Ok7eU5 ◄⚽   Канал 1xbet - https://goo.gl/pz6TmJ   Матч Россия - Испания получился абсолютно сногсшибательным! Смотри наш обзор матча и делай свои выводы по матчу сборной России!  👤 Сергей Алексеев ВКонтакте - https://vk.com/joycute  📸Мы в INSTAGRAM - https://www.instagram.com/refootball_...  📝Мы в ВКонтакте - https://vk.com/refoot   🎬СМОТРИ НАШИ КРАЙНИЕ ВИДЕО:  ► https://youtu.be/hlJ874mJaag - САМЫЙ НЕЛЕПЫЙ ПРОМАХ В ФУТБОЛЕ. ЛУЧШИЕ ГОЛЫ НЕДЕЛИ  ► https://youtu.be/7_NLf1Q1PT0 - 20 ИГРОКОВ  УНИЧТОЖЕННЫХ РОНАЛДИНЬО | ГОЛЫ  ФИНТЫ  СКИЛЛЫ  ► https://youtu.be/rLbH6MeCfrI - РОССИЯ - АРГЕНТИНА: ГДЕ БЫЛ МЕССИ? НАС МИЛЛИОН!  ► https://youtu.be/blqnYfh40Bs - ГОЛЫ  В КОТОРЫЕ НЕВОЗМОЖНО ПОВЕРИТЬ #7  ► https://youtu.be/MDTkJJzXlM4 - РОНАЛДУ НЕ ПРАЗДНУЕТ ГОЛЫ РЕАЛА. ПОЧЕМУ?  ► https://youtu.be/cgy-lx3N9JU - НЕЙМАР ПЕРЕХОДИТ В РЕАЛ? ТОП ТРАНСФЕР  ► https://youtu.be/XkpeyK1-fhI - САМЫЙ СМЕШНОЙ ФЭЙЛ ГОДА В ФУТБОЛЕ. ЛУЧШИЕ ГОЛЫ НЕДЕЛИ  ► https://youtu.be/2RNZGg2kqH8 - ПСЖ ЧЕРЕЗ 5 ЛЕТ. ПСЖ БЕЗ НЕЙМАРА И МБАППЕ?  ► https://youtu.be/vRaAFG55IZw - ДЕВУШКИ ФУТБОЛИСТОВ 2017. У КОГО САМАЯ КРАСИВАЯ?  ► https://youtu.be/zbKoZXSe_DQ - ЛУЧШИЕ ГОЛЫ ОКТЯБРЯ | 2017   сборная россии  россия испания  россияиспания  россия - испания  россияиспания  россия испания обзор  россия - испания обзор  россия испания обзор матча  россия - испания обзор матча  россия испания голы  россия испания гол смолова  россия испания 3-3  россия испания 3-3 обзор  россия испания 3-3 обзор матча  россия испания полный матч  россия - испания полный матч  россия испания смотреть полный матч  россия - испания смотреть полный матч  россия испания все голы  россия - испания все голы  #россияиспания #россияиспанияобзор #россияиспанияобзорматча #россияиспанияголы #russiaspain #russiaspainhighlights #russiaspaingoals #russiaspainallgoals #реальныйфутбол
mQbsY2KTFHk,17.15.11,Слуга Народа 2 - От любви до импичмента  22 серия | Сериал 2017 в 4к,Слуга народа,43,2017-11-14T18:45:58.000Z,"сериал|""сериал 2017""|""сериал 4к""|""сериал слуга народа 2""|""слуга народа 2""|""слуга народа 2 сезон""|""слуга народа сериал""|""слуга народа 22 серия""|""слуга народа новый сезон""|""новый сезон слуга народа""|""слуга народа премьера""|""слуга народа смотреть онлайн""|""сериал слуга народа онлайн""|""смотреть новый слуга народа""|""слуга народа""|""sluga narodu""|""слуга народа квартал 95 смотреть""|""слуга народа когда выйдет""|""премьера 4к""|""премьера 2017""|""президент Украины""",437979,8787,287,1616,https://i.ytimg.com/vi/mQbsY2KTFHk/default.jpg,FALSE,FALSE,FALSE,Ze Kubiki - Спортивный влог Владимира Зеленского https://www.youtube.com/watch?v=80lbC7foHk0  Сериал Слуга Народа 2 сезон  серия 22: Дебаты между основными кандидатами - это важная составляющая часть любых выборов  ведь где еще  как не на телевизионных дебатах  можно раскрыть народу глаза на своих политических оппонентов. И сегодня главный кандидат  Василий Голобородько  раскроет свои козыря и докажет прямую связь всех кандидатов с олигархами  которые в свою очередь сделают шокирующий ответный удар.  Слуга народа 2. От любви до импичмента  все серии - https://www.youtube.com/watch?v=uNbPwegQcag&list=PLSoP62RB3ymkpI7XMMeKs2J1rxmmR3UjG Однажды под Полтавой  4-й сезон 2017 - https://www.youtube.com/watch?v=D4DJ0702OY0&list=PLprXcH5dhunNOvBrziCD5qPYOIMuS-mOT Вечерний квартал полные выпуски - https://www.youtube.com/watch?v=U9Z01WDAS_s&list=PL58H4uS5fMRzV7nPb-plAadLKf5uA6wu3 Премьера! Звездные яйца 2017 - https://www.youtube.com/watch?v=2qzEG7DLPcY&list=PL58H4uS5fMRwoHUjf6LSWhLa5a9i0rd-P Рассмеши Комика 2017 - новый 14 сезон - https://www.youtube.com/playlist?list=PLVgj_ENHZ-jWr18s6dZEFze4QKJJ2ISKh Сериал комедия Країна У / Краина У - Новый 7-й сезон - https://www.youtube.com/watch?v=M3qVonG1q-M&list=PLprXcH5dhunPAoBulZIXYDDmgP_fLKyIE Лига Смеха 2017 - 3 сезон - полные выпуски - https://www.youtube.com/watch?v=f2O_8MEICKw&list=PLP8qlV2aurYopmUJRNwyDb30OzlSyM6wS Ігри Приколів - повні випуски https://www.youtube.com/watch?v=Ph08__WYeTE&list=PL58H4uS5fMRyWbYgQiUm-uKeOoeuxPDMs
pbaNLHsu3TY,17.15.11,Обзор на плохое - Сериал Счастливы вместе,Woodmark,43,2017-11-14T16:04:18.000Z,"Сериал Счастливы вместе|""Счастливы вместе""|""Букины""|""Счастливы вместе 6 сезон""|""Обзор Сериала Счастливы вместе""|""Обзор Букины""|""Женаты с детьми""|""Married with Children""|""Сериала Счастливы вместе от ТНТ""|""Гена Букин""|""Даша Букина""|""Света Букина""|""Лена Полено""|""Виктор Логинов""|""Наталья Бочкарёва""|""Дарья Сагалова""|""Телеканал ТНТ""|""ТНТ""|""Ситком""|""Юмор""|""Сериалы""|""Русский сериал""|""Обзор на треш""|""Смешной обзор""|""Woodmark""|""Вудмарк""|""Обзор на плохое""",45354,4567,262,1124,https://i.ytimg.com/vi/pbaNLHsu3TY/default.jpg,FALSE,FALSE,FALSE,Обзор сериал Счастливы вместе  также известного как Букины. Адаптация зарубежного сериала Женаты... с детьми(Married… with Children) от телеканала ТНТ  которая была неплохой  до определенного момента. Поэтому обзор сегодня в необычном формате. Порция ностальгии  недоумения и разочарования.  Обзор на плохое - Любовь без правил - https://youtu.be/C5yWe_fUCW0  Канал ЮТ - https://youtube.com/WoodmarkChannel Группа ВК - https://vk.com/WoodmarkClub Поддержать проект - http://donationalerts.ru/r/Woodmark
